URL,Title,Technical Value
https://www.google.com/search?q=pot+player+download&rlz=1C1SQJL_enSG864&oq=pot+player+download&aqs=chrome..69i57j0l5.4820j0j7&sourceid=chrome&ie=UTF-8,pot player download - Google Search,0
https://daumpotplayer.com/download/,Download | PotPlayer,0
http://gmail.com/,Inbox (32) - joel.chan.92@gmail.com - Gmail,0
https://gmail.com/,Inbox (32) - joel.chan.92@gmail.com - Gmail,0
https://www.google.com/gmail/,Inbox (32) - joel.chan.92@gmail.com - Gmail,0
https://mail.google.com/mail/,Inbox (32) - joel.chan.92@gmail.com - Gmail,0
https://accounts.google.com/ServiceLogin?service=mail&passive=true&rm=false&continue=https://mail.google.com/mail/&ss=1&scc=1&ltmpl=default&ltmplcache=2&emr=1&osid=1#,Inbox (19) - joel.chan.92@gmail.com - Gmail,0
https://mail.google.com/intl/en-GB/mail/help/about.html#,Gmail - Free Storage and Email from Google,0
https://www.google.com/intl/en-GB/mail/help/about.html#,Gmail - Free Storage and Email from Google,0
https://www.google.com/intl/en-GB/gmail/about/#,Gmail - Free Storage and Email from Google,0
https://accounts.google.com/signin/chrome/sync?ssp=1&continue=https%3A%2F%2Fwww.google.com%2F,Sign in – Google accounts,0
https://accounts.google.com/signin/chrome/sync/identifier?ssp=1&continue=https%3A%2F%2Fwww.google.com%2F&flowName=GlifDesktopChromeSync,Sign in – Google accounts,0
https://accounts.google.com/signin/v2/sl/pwd?ssp=1&continue=https%3A%2F%2Fwww.google.com%2F&flowName=GlifDesktopChromeSync&cid=1&navigationDirection=forward,Sign in – Google accounts,0
https://accounts.google.com/CheckCookie?hl=en-GB&checkedDomains=youtube&checkConnection=youtube%3A463%3A1&pstMsg=1&chtml=LoginDoneHtml&continue=https%3A%2F%2Faccounts.google.com%2Fsignin%2Fchrome%2Fsync%2Ffinish%3Fcontinue%3Dhttps%253A%252F%252Fwww.google.com%252F%26est%3DAJmqplZe-702V-ATYi3ns32xzmHTVTA_XrO1E362bXMmPVsA_hEZ_2v1r_vVzgPgzQXd4ETgidd3IsCCW9uCbBY&gidl=EmYIDBJiQUVqSEw0UFFvNXdrY2x5eVgtbmJzRnZPTFQtNjdKYjlzWkJjbWxxUDEzMlJqXzQyVkVBRGFzdmVVNE0yWDZibkhrSXc3SXAwaXJDTGVocUV4cnlzY3VEa3dFd21BX3RsRGc,Account Recovery Options,0
https://accounts.google.com/ServiceLogin?continue=https%3A%2F%2Fmyaccount.google.com%2Fsecurity%2Fsigninoptions%2Frecovery-options-collection%3Futm_source%3DWeb%26utm_medium%3DWeb%26utm_campaign%3Dinterstitial%26oev%3Dlytf%253D7%2526wvtx%253D2%2526trs%253Dli%2526stel%253D1%26authuser%3D0%26hl%3Den-GB%26continue%3Dhttps%253A%252F%252Faccounts.google.com%252FServiceLogin%253Fcontinue%253Dhttps%25253A%25252F%25252Faccounts.google.com%25252Fsignin%25252Fchrome%25252Fsync%25252Ffinish%25253Fcontinue%25253Dhttps%2525253A%2525252F%2525252Fwww.google.com%2525252F%252526est%25253DAJmqplZe-702V-ATYi3ns32xzmHTVTA_XrO1E362bXMmPVsA_hEZ_2v1r_vVzgPgzQXd4ETgidd3IsCCW9uCbBY%2526hl%253Den-GB%2526authuser%253D0%2526passive%253Dtrue%2526sarp%253D1%2526aodrpl%253D1%2526checkedDomains%253Dyoutube%2526checkConnection%253Dyoutube%25253A463%25253A1%2526pstMsg%253D1%26rapt%3DAEjHL4PQo5wkclyyX-nbsFvOLT-67Jb9sZBcmlqP132Rj_42VEADasveU4M2X6bnHkIw7Ip0irCLehqExryscuDkwEwmA_tlDg&service=accountsettings&hl=en-GB&authuser=0&passive=true&sarp=1&osid=1,Account Recovery Options,0
