word,normalized_weight
case,0.241
hacking,0.9
policy,0.3241
requirements,0.04
bit,0.2654
default,0.034
ip,0.787
enter,0.0054
product,0.035
send,0.0032
shell,0.74
machine,0.6143
test,0.0852
root,0.88
long,0.0034
hack,0.96
word,0.0341
trusted,0.109542
remote,0.74
log,0.45
mov,0.654
support,0.00132
source,0.08321
passwords,0.865
packet,0.82
port,0.81
return,0.087022465
txt,0.213
function,0.668
start,0.086232501
windows,0.3457
sys,0.39083
virus,0.85
protocol,0.561
output,0.083357031
device,0.09431
http,0.47652
https,0.51
dos,0.91
error,0.68
add,0.079502005
memory,0.7623
point,0.077985274
computers,0.65
format,0.53
check,0.076816127
int,0.641
create,0.2143
connection,0.29864
site,0.35
based,0.0034
configuration,0.432
services,0.2431
exe,0.41
channel,0.375
free,0.1543
operating,0.071728757
characters,0.007
general,0.071128384
class,0.21543
secure,0.18544
info,0.01
accounts,0.01
evaluation,0.01
screen,0.01
hardware,0.01
allow,0.01
entry,0.01
prompt,0.01
string,0.71
form,0.03
open,0.01
report,0.01
document,0.01
functions,0.06525105
pc,0.1875
option,0.01
manager,0.03
connect,0.01
description,0.01
place,0.01
center,0.01
field,0.01
lines,0.01
testing,0.01
changes,0.01
required,0.01
going,0.01
simple,0.01
bin,0.1231
person,0.02
special,0.01
echo,0.654
display,0.058962934
author,0.058868138
break,0.1432
mechanism,0.01
space,0.01
full,0.01
encryption,0.8765
defined,0.01
analysis,0.01
component,0.01
size,0.01
interface,0.765
attack,0.9
including,0.01
simply,0.01
tab,0.136
usr,0.01
easy,0.01
best,0.01
telnet,0.812
technical,0.57
bits,0.71
components,0.05441274
byte,0.8653
username,0.341
client,0.131
features,0.053622776
passwd,0.2965
mechanisms,0.01
networks,0.54
input,0.654
drive,0.12643
bytes,0.867
basic,0.052990804
href,0.72
telephone,0.052801213
print,0.18547
authentication,0.87
administrator,0.58
company,0.0123
provided,0.0123
national,0.0123
execute,0.0123
operator,0.0123
development,0.0123
modem,0.4131
node,0.413
guide,0.050526116
table,0.21
procedures,0.049672954
operation,0.04954656
search,0.263
delete,0.2654
length,0.049072581
html,0.465
large,0.048724997
sensitivity,0.0486618
hard,0.048567004
exit,0.048567004
subjects,0.04844061
encrypted,0.88
assurance,0.048029828
small,0.04777704
ibm,0.04777704
vms,0.047713843
align,0.047619047
reference,0.047176667
manual,0.047145068
push,0.0765
press,0.04689228
identification,0.046797484
cost,0.046639491
valign,0.153
channels,0.0976
groups,0.046481498
path,0.046102316
microsoft,0.21
model,0.045312351
criteria,0.045154358
works,0.044996366
filename,0.325
implementation,0.044869971
define,0.274
request,0.04468038
term,0.044648781
complete,0.044048408
status,0.11
addresses,0.7123
application,0.754
technology,0.26
electronic,0.2141
tools,0.043732423
better,0.043669226
devices,0.3643
connected,0.2543
created,0.132
dir,0.54
options,0.042531677
save,0.042373684
job,0.242
result,0.04224729
types,0.042120896
packets,0.832
protected,0.0420261
programming,0.75
permission,0.041962903
buffer,0.687
purpose,0.04180491
machines,0.0986
working,0.04158372
course,0.041236136
directories,0.17
session,0.12
requirement,0.041172938
named,0.040951748
correct,0.040825354
digital,0.84
logged,0.12
knowledge,0.08
processing,0.14
described,0.039782601
controls,0.039751003
sites,0.08
record,0.215
storage,0.351
secret,0.26
anonymous,0.07
signal,0.215
target,0.156
dec,0.039213827
location,0.216
physical,0.039119031
alt,0.039087433
registration,0.038897841
null,0.365
keys,0.26
organization,0.038645053
changed,0.038550257
void,0.254
hosts,0.038423863
stored,0.261
parameters,0.1765
transfer,0.315
cable,0.123
step,0.037760293
sensitive,0.037760293
pad,0.037633898
remember,0.037475906
government,0.186
needed,0.037349511
menu,0.037191518
zip,0.151
rules,0.03715992
ways,0.037001927
require,0.036970328
paper,0.036907131
lists,0.036622744
directly,0.03649635
versions,0.086
private,0.78
internal,0.036338357
baud,0.036306758
variable,0.15
additional,0.036211963
equipment,0.036148766
business,0.036148766
red,0.036022371
events,0.035990773
netware,0.241
protect,0.035706386
usage,0.035674787
values,0.09
year,0.035453597
formal,0.035137611
window,0.035074414
linux,0.81
levels,0.034916421
products,0.034853224
plan,0.034821626
unauthorized,0.034790027
risk,0.034790027
link,0.03450564
distribution,0.034379246
web,0.1654
short,0.034347647
stuff,0.034316048
includes,0.034316048
listed,0.03428445
city,0.034126457
actions,0.034126457
questions,0.034000063
database,0.198
register,0.126
servers,0.76
base,0.033905267
feature,0.16432
assigned,0.033873668
contents,0.033810471
idea,0.033684077
permissions,0.033684077
domain,0.195
codes,0.186
esp,0.033589281
leave,0.033526084
bad,0.033494486
calling,0.03339969
force,0.03339969
methods,0.132
response,0.214
major,0.033273296
hit,0.033210098
valid,0.098
answer,0.033146901
entries,0.033115303
years,0.033115303
power,0.033083704
vendor,0.033020507
great,0.032988908
communication,0.032894113
console,0.43
bug,0.18
big,0.032862514
trojan,0.8965
select,0.57543
release,0.032704521
switch,0.263
requires,0.032483331
struct,0.526
owner,0.16
profile,0.156
question,0.032262141
header,0.215
privileges,0.312
voice,0.032104148
remove,0.03207255
turn,0.03207255
sequence,0.1843
rights,0.16
department,0.031946156
authorized,0.124
determine,0.031788163
ascii,0.5146
email,0.031756564
random,0.031724966
copyright,0.071
script,0.89
prevent,0.031598571
printf,0.561
multiple,0.031472177
block,0.031377381
appropriate,0.031345783
utility,0.09584
underground,0.031219388
designed,0.03118779
labels,0.031124593
won,0.031092994
sort,0.0765
offset,0.031029797
international,0.030903403
receive,0.030903403
inside,0.030808607
clear,0.030808607
editor,0.214
applications,0.03074541
flags,0.21
letter,0.030650614
computing,0.72
action,0.030555818
processes,0.216
monitor,0.03052422
reported,0.030492621
law,0.030334628
range,0.030271431
install,0.86
received,0.030176636
defense,0.029734256
man,0.029576263
pop,0.029576263
writing,0.029513066
issues,0.029449868
talk,0.02941827
telenet,0.029386671
days,0.029355073
viruses,0.89
started,0.029291876
view,0.02919708
library,0.66
libraries,0.85
logging,0.08
load,0.029133883
online,0.0843
wait,0.029102284
tv,0.029070686
allowed,0.029039087
loop,0.64
capability,0.028944291
bill,0.028912693
stack,0.78
displays,0.0287547
attributes,0.056
ensure,0.028723101
examples,0.028691503
specification,0.028596707
developer,0.76
macro,0.3456
ack,0.512
interesting,0.028438714
pass,0.028375517
archive,0.028343918
addition,0.02831232
hours,0.028280721
sense,0.028280721
exist,0.028249123
identify,0.028217524
event,0.028185926
administrative,0.028185926
direct,0.028059531
review,0.028059531
handle,0.027996334
edit,0.027996334
reports,0.027996334
limited,0.027933137
dev,0.027933137
media,0.027933137
exchange,0.027838341
details,0.02764875
techniques,0.152
tone,0.027522356
move,0.027490757
scan,0.027490757
easily,0.027459158
implemented,0.11
intended,0.065
connections,0.027395961
established,0.027174771
compare,0.027111574
executed,0.086
os,0.3136
policies,0.099
mark,0.02698518
actual,0.026921983
parameter,0.026921983
win,0.026890384
identity,0.026858786
modify,0.026827187
evidence,0.026827187
considered,0.02676399
ability,0.026732391
sh,0.1432
db,0.254
responsible,0.026511201
mu,0.026448004
traffic,0.17
attempt,0.026353208
comments,0.026353208
recovery,0.097
describe,0.026258413
external,0.026258413
license,0.026195216
instruction,0.026163617
continue,0.026132018
package,0.21
elements,0.1653
video,0.026037223
hex,0.85
basis,0.025942427
records,0.025910828
entered,0.025910828
attacks,0.84
segment,0.025784434
appear,0.025247258
maintenance,0.07
admin,0.61
kernel,0.82
post,0.025089266
uid,0.67
patch,0.5
attacker,0.86
driver,0.07
installed,0.8321
boot,0.54
relevant,0.024741681
future,0.024678484
incoming,0.024678484
learn,0.024678484
instructions,0.024678484
flag,0.213
crack,0.77
cracker,0.634
engineering,0.024141308
figure,0.02410971
ethernet,0.2123
protocols,0.245
finally,0.12
room,0.023604133
gateway,0.08231
authorization,0.26
completely,0.023540936
administrators,0.123
share,0.02344614
separate,0.023414541
modification,0.023288147
logs,0.023193351
pay,0.023130154
dword,0.521
team,0.022972161
automatically,0.1231
errors,0.354
station,0.022877366
higher,0.022814168
limit,0.3127
comp,0.022814168
crime,0.73
blue,0.022719373
initial,0.022656176
resource,0.765
jump,0.022624577
mac,0.64
algorithm,0.71
ext,0.76
attempts,0.216
master,0.022371789
ls,0.68
smart,0.022276993
daemon,0.61
cracking,0.68
typing,0.123
sends,0.022119
thought,0.022055803
tool,0.5653
irc,0.5132
global,0.07
final,0.1543
performed,0.021929409
matter,0.02189781
ddn,0.021866211
tty,0.71
category,0.021866211
police,0.021771416
acl,0.82
label,0.021739817
keyboard,0.365
personnel,0.021645021
existing,0.021645021
super,0.241
minimum,0.021613423
kill,0.678
lower,0.021487029
unsigned,0.345
activities,0.02145543
variables,0.412
longer,0.021297437
contained,0.021297437
mount,0.69
minutes,0.02123424
copies,0.021202641
worm,0.6143
areas,0.021107846
cat,0.32
concept,0.02101305
interpretation,0.020949853
verification,0.020918254
satellite,0.331
potential,0.020918254
located,0.020918254
setting,0.020886656
black,0.020886656
displayed,0.020855057
infected,0.020855057
community,0.020760261
modified,0.020760261
choose,0.020728663
references,0.61
effective,0.020728663
money,0.35
execution,0.020697064
today,0.020665466
task,0.020665466
explain,0.020665466
fixed,0.020633867
letters,0.020602269
privacy,0.02057067
image,0.02057067
finger,0.020539071
told,0.020475874
module,0.5
customer,0.020444276
goto,0.020444276
rating,0.020381079
automated,0.020381079
subsystem,0.2423
conditions,0.16
meaning,0.020317881
scanning,0.513
generate,0.12
tests,0.11
serial,0.076
identifier,0.020223086
compiler,0.2431
trace,0.123
instance,0.561
hold,0.020065093
rm,0.56
batch,0.186
tape,0.020001896
expected,0.020001896
extension,0.216
printer,0.020001896
chapter,0.020001896
binary,0.55
activity,0.019938699
follow,0.019938699
track,0.0199071
circuit,0.18
checks,0.0199071
meet,0.019875501
damage,0.2
white,0.019843903
properly,0.019843903
penetration,0.78
period,0.019812304
proper,0.019812304
generation,0.019780706
detect,0.241
installation,0.865
phoenix,0.019622713
hope,0.019622713
architecture,0.019591114
games,0.019559516
digit,0.019559516
member,0.019559516
registered,0.019527917
categories,0.01946472
enforcement,0.019433121
removed,0.019433121
solution,0.019401523
backup,0.04
syn,0.66
gdb,0.585
popular,0.019338326
checking,0.019306727
firewall,0.876
count,0.019211931
wrote,0.019211931
victim,0.5143
sample,0.019211931
refer,0.019211931
datapac,0.019180333
argv,0.76
half,0.019148734
color,0.019085537
ports,0.63
terminals,0.346
equal,0.018959143
points,0.018959143
classes,0.345265
consider,0.018927544
executable,0.235
enable,0.018895946
update,0.018864347
mailing,0.018864347
seconds,0.018832749
central,0.018832749
destination,0.018832749
setup,0.018832749
trust,0.01880115
play,0.018769551
unique,0.018769551
developed,0.018737953
automatic,0.018737953
house,0.018706354
ncsc,0.5136
failure,0.018643157
green,0.018611559
cover,0.018611559
pwd,0.613
nfs,0.68
digits,0.01857996
condition,0.018548361
lan,0.65
understanding,0.018516763
night,0.018485164
role,0.1234
sound,0.195
primary,0.257
cut,0.1235
cmp,0.678
sign,0.1235
requests,0.3654
dictionary,0.465
appears,0.018263974
front,0.2
supported,0.125
pin,0.51
item,0.2565
sizeof,0.587
rest,0.135
virtual,0.314
items,0.1235
combination,0.1235
outgoing,0.254
apply,0.16685
ready,0.1543
specifies,0.16
cert,0.36
argument,0.341
hour,0.14
property,0.58
illegal,0.67
interrupt,0.41
typically,0.123
division,0.13
modules,0.345
equivalent,0.212
legal,0.5627
rate,0.256
ps,0.87
places,0.017726799
quit,0.017726799
phreak,0.81
controlled,0.215
ring,0.017663601
disable,0.365
returns,0.24
facilities,0.017632003
implement,0.254
transmission,0.31
summary,0.017600404
background,0.017600404
official,0.017568806
environments,0.216
built,0.245
detail,0.16
evaluated,0.165
flaws,0.134
operators,0.365
sharing,0.1236
cycle,0.345
reset,0.2456
counter,0.017442411
syntax,0.82
trail,0.017410813
exists,0.21
pointer,0.77
enforce,0.14
utilities,0.2543
science,0.017189623
doc,0.354
unknown,0.2454
generated,0.354
guidelines,0.135
history,0.7687
deal,0.01703163
united,0.01703163
material,0.01703163
piece,0.017000031
country,0.017000031
publication,0.017000031
mgr,0.017000031
distance,0.016968433
north,0.016968433
fast,0.016905236
greater,0.016905236
classification,0.016873637
lib,0.016873637
auditing,0.097
avoid,0.016842039
proxy,0.79
carrier,0.016778841
month,0.016778841
school,0.016778841
routing,0.48
administration,0.016715644
tutorial,0.016715644
depending,0.016684046
posting,0.016652447
selected,0.016620849
serious,0.016620849
wire,0.016620849
hash,0.92
sources,0.01658925
electron,0.01658925
firmware,0.016557651
partition,0.585
con,0.016526053
sysop,0.016526053
multi,0.016526053
hacked,0.6
gov,0.05
phreaking,0.75
choice,0.01636806
debug,0.6
represent,0.01636806
eagle,0.016336461
assume,0.016336461
jmp,0.56
des,0.016273264
months,0.016210067
critical,0.13
regkey,0.62
click,0.214
privilege,0.01614687
programmer,0.59
trouble,0.1234
exploit,0.83
shareware,0.4562
processor,0.016052074
owned,0.016020476
latest,0.016020476
bugs,0.249
edx,0.016020476
demo,0.015988877
week,0.015957279
logon,0.015957279
temporary,0.01592568
party,0.01592568
journal,0.01592568
warning,0.01592568
regular,0.015894081
fine,0.015894081
busy,0.015894081
watch,0.015894081
bank,0.015862483
dialing,0.015799286
lost,0.015799286
david,0.015767687
pick,0.015767687
handling,0.015767687
lock,0.015767687
institute,0.01570449
volumes,0.01570449
discovered,0.015672891
frequency,0.11
monitoring,0.015672891
vt,0.015672891
hidden,0.015672891
intruder,0.23151
agent,0.015641293
applied,0.015609694
employees,0.015578096
advanced,0.015578096
properties,0.015578096
correctly,0.015546497
corporation,0.015546497
position,0.015514899
flow,0.015514899
privileged,0.015514899
care,0.0154833
incident,0.149
worth,0.015451701
hello,0.015420103
outdial,0.015420103
dump,0.015420103
supports,0.015420103
modes,0.015420103
head,0.015388504
frequently,0.015388504
basically,0.015356906
magic,0.015356906
creating,0.015325307
performance,0.015325307
water,0.015325307
guidance,0.015293709
granted,0.015230511
std,0.54
download,0.123
finding,0.015167314
build,0.214
cpu,0.68
gpu,0.68
context,0.015135716
capabilities,0.015104117
west,0.015104117
detection,0.31
button,0.015104117
happen,0.015072519
telecom,0.21
xor,0.58
passed,0.015009321
couple,0.015009321
friend,0.014977723
arguments,0.512
prior,0.014946124
phase,0.014946124
presented,0.014914526
consists,0.014914526
threat,0.18
providing,0.014851329
reply,0.01481973
scripts,0.62
pro,0.014756533
indicates,0.014724934
double,0.67
invalid,0.123
cp,0.66
tested,0.014503744
printed,0.014503744
networking,0.47
switching,0.13
sunos,0.4531
dd,0.65
restricted,0.1639
updated,0.014345751
comment,0.014314153
ret,0.354
students,0.014314153
graphics,0.69
technique,0.143
bsd,0.44
indicate,0.014250956
ss,0.11
selection,0.014250956
complex,0.014219357
door,0.014219357
consistent,0.014219357
experience,0.014219357
shit,0.014187759
reasons,0.014187759
crash,0.014187759
effort,0.014187759
collection,0.014187759
characteristics,0.014187759
earlier,0.014187759
extra,0.014124561
fields,0.014092963
talking,0.014061364
rule,0.014029766
verify,0.013998167
association,0.013966569
forms,0.01393497
clearance,0.01393497
april,0.013903371
turned,0.013903371
replace,0.013903371
shared,0.013903371
sections,0.013871773
returned,0.013871773
answers,0.013871773
duration,0.013840174
extended,0.013840174
maintained,0.013808576
posted,0.013808576
assembly,0.19
edi,0.013808576
hole,0.013808576
holding,0.013776977
explained,0.013745379
stated,0.013745379
match,0.01371378
unassigned,0.17
assembler,0.21
loaded,0.01371378
holes,0.013682181
anon,0.013682181
typical,0.013650583
signals,0.013650583
scope,0.013650583
foo,0.46421
fbi,0.013460991
safe,0.013460991
starts,0.013460991
chmod,0.82
army,0.013429393
programmers,0.58
typed,0.16
scheme,0.013397794
light,0.013397794
startup,0.123
attention,0.013366196
caught,0.013366196
magnetic,0.013366196
scanner,0.17
corporate,0.013334597
heard,0.013334597
settings,0.24
situation,0.013334597
decoder,0.67
recommended,0.013334597
reserved,0.013334597
disks,0.45
legitimate,0.013334597
jrnl,0.013334597
measures,0.0132714
dll,0.78
floppy,0.013239801
medium,0.013239801
bar,0.12
signature,0.1
produce,0.013176604
vendors,0.013176604
pre,0.013176604
live,0.013145006
periodical,0.013145006
fake,0.013113407
escape,0.013113407
drives,0.013081809
worked,0.013081809
insert,0.013081809
tones,0.01305021
explanation,0.01305021
respect,0.01305021
macros,0.01305021
sky,0.013018611
creates,0.013018611
executing,0.013018611
managers,0.012987013
society,0.012955414
quality,0.012923816
nature,0.012892217
content,0.012892217
restrictions,0.012860619
independent,0.012860619
agencies,0.01282902
carry,0.01282902
arpanet,0.012797421
chance,0.012797421
charge,0.012797421
air,0.012765823
english,0.012734224
body,0.012734224
authority,0.012734224
functionality,0.012734224
hang,0.012671027
tech,0.012671027
compatible,0.012671027
fprintf,0.54
oz,0.012671027
pattern,0.267
expect,0.012639429
su,0.778
filter,0.35
hot,0.012639429
disabled,0.01260783
accountability,0.01260783
acceptable,0.012576231
ad,0.012576231
minute,0.012576231
brute,0.92
commonly,0.012576231
respond,0.012576231
beta,0.012513034
flaw,0.012513034
plans,0.012481436
sufficient,0.012481436
temp,0.23
blank,0.012449837
config,0.42
videocrypt,0.72
validation,0.36
establish,0.12
march,0.01238664
clean,0.01238664
street,0.012355041
waiting,0.012355041
lots,0.012355041
broken,0.012355041
abuse,0.012291844
topic,0.012291844
spool,0.012291844
anti,0.012260246
vm,0.77
desired,0.012260246
abstract,0.012260246
delay,0.12
band,0.012228647
pursuit,0.012228647
links,0.012228647
deleted,0.15
planning,0.012228647
registers,0.21
nodes,0.27
keeping,0.012197049
bring,0.01216545
approved,0.01216545
defaults,0.01216545
knew,0.012133851
handled,0.012133851
story,0.012133851
stand,0.012133851
fairly,0.012133851
telecommunications,0.26
timeout,0.421
hide,0.012070654
priority,0.012070654
mouse,0.012070654
refers,0.012070654
picture,0.012039056
stupid,0.012039056
registry,0.012039056
depends,0.012007457
routines,0.012007457
reach,0.012007457
shadow,0.012007457
guideline,0.012007457
originally,0.012007457
accessible,0.012007457
yellow,0.011975859
breaking,0.011975859
route,0.16
pls,0.011975859
checked,0.01194426
advantage,0.011912661
attached,0.011849464
optional,0.011849464
issued,0.011849464
cmu,0.011849464
buf,0.37
sector,0.33
scott,0.011786267
stands,0.011786267
extremely,0.011754669
buy,0.01172307
staff,0.01172307
auto,0.01172307
handbook,0.01172307
apple,0.01172307
published,0.011691471
hell,0.011691471
stream,0.011691471
saved,0.011691471
dns,0.82
addressed,0.68
variety,0.011659873
workstation,0.765
exported,0.761
eventually,0.011628274
dead,0.011628274
organizations,0.011628274
core,0.534
editing,0.011628274
restore,0.011596676
upper,0.011565077
languages,0.011565077
robert,0.011533479
degree,0.011533479
drop,0.01150188
completed,0.01150188
ansi,0.01150188
var,0.25
superuser,0.01150188
july,0.011470281
cool,0.011470281
tasks,0.011470281
impossible,0.011470281
ends,0.011470281
jobs,0.011407084
entering,0.011407084
lastupdate,0.011407084
style,0.011375486
stay,0.011375486
pathname,0.011375486
accessed,0.011312289
strings,0.18
prefix,0.011312289
disconnect,0.16
modems,0.24
corresponding,0.011312289
accreditation,0.011312289
middle,0.011249091
remain,0.011249091
wizard,0.011249091
creation,0.011249091
certification,0.011249091
compromise,0.011249091
joe,0.011249091
isp,0.28
portion,0.011217493
fully,0.011217493
crypt,0.363
mounted,0.16
encrypt,0.69
msg,0.11
crackers,0.54
enabled,0.011185894
printing,0.011154296
market,0.011154296
increase,0.011154296
training,0.011154296
font,0.011154296
held,0.011122697
overview,0.011122697
vulnerabilities,0.83
highly,0.011091099
affect,0.011091099
adm,0.011091099
receiving,0.011091099
smtp,0.768
connecting,0.17
reverse,0.0110595
ten,0.011027901
raid,0.011027901
threats,0.011027901
objective,0.010996303
bios,0.63
op,0.010964704
south,0.010964704
road,0.010933106
audio,0.010933106
weeks,0.010933106
pid,0.010933106
incorrect,0.010933106
communicate,0.010933106
closed,0.010933106
layer,0.010933106
looked,0.010901507
dark,0.010901507
practice,0.010901507
convention,0.010901507
nic,0.28
capable,0.010869909
coming,0.010869909
vulnerable,0.35
checksum,0.67
risks,0.0865
transaction,0.01083831
subsystems,0.01083831
dr,0.010806711
garbage,0.010806711
december,0.010806711
malicious,0.72
token,0.010806711
fail,0.010806711
spoofing,0.8
powerful,0.010775113
hear,0.010743514
careful,0.010743514
claimed,0.010743514
router,0.5764
determined,0.010743514
produced,0.010743514
exec,0.51
dc,0.123
utmp,0.57
bottom,0.010680317
frame,0.17
spread,0.010680317
discuss,0.010648719
chat,0.010648719
requested,0.010648719
setuid,0.56
failed,0.01061712
column,0.01061712
creator,0.01061712
sessions,0.01061712
beach,0.010585521
average,0.010553923
shift,0.010553923
reads,0.010553923
officer,0.010553923
phrack,0.75
enforced,0.010553923
difference,0.010522324
goal,0.010522324
symbol,0.010522324
examine,0.010522324
netbios,0.56
lead,0.010490726
pair,0.010490726
grep,0.76
url,0.010490726
referred,0.010459127
effects,0.010459127
art,0.010459127
decision,0.010459127
socket,0.24
specifications,0.010459127
structures,0.010459127
detected,0.010427529
quote,0.010427529
implementations,0.010427529
jargon,0.11
pbx,0.16
face,0.01039593
proc,0.254
sri,0.010364331
mhz,0.14
older,0.010364331
nis,0.010364331
dedicated,0.010364331
subscribe,0.010332733
compile,0.86
occasionally,0.010332733
distinct,0.010332733
chip,0.68
compiled,0.010301134
price,0.010269536
mailbox,0.010269536
faster,0.010269536
elite,0.010237937
supposed,0.01017474
convert,0.01017474
strong,0.010143141
clients,0.010143141
late,0.010143141
hostname,0.77
accurate,0.010111543
august,0.010111543
usual,0.010111543
decisions,0.010111543
map,0.010111543
derived,0.010111543
larger,0.010079944
src,0.58
behavior,0.010079944
student,0.010079944
switches,0.010048346
transmitted,0.010048346
distribute,0.010048346
argc,0.56
decimal,0.66
involves,0.010016747
bypass,0.46
queue,0.17
logins,0.010016747
winsock,0.010016747
reboot,0.0875
applies,0.00995355
suite,0.009921951
suid,0.009921951
peter,0.009921951
santa,0.009921951
template,0.009921951
success,0.009921951
perl,0.009921951
transfers,0.009890353
september,0.009890353
ai,0.76
skip,0.135
assignment,0.009890353
denial,0.74
ipx,0.672
november,0.009858754
assure,0.13
family,0.15
bandwidth,0.6231
assistance,0.009827156
micro,0.009827156
downloaded,0.009795557
element,0.009795557
unclassified,0.009795557
